diameter_um,realised_percent,envelope_low_percent,envelope_high_percent
100.87773144,0.17241839,0.09173048,0.20989532
100.87873228,0.17142857,0.09074145,0.20890513
100.87973311,0.17043154,0.08974522,0.20790772
100.88073394,0.16944175,0.08875623,0.20691756
100.88173478,0.16844475,0.08776004,0.20592020
100.88273561,0.16744778,0.08676387,0.20492285
100.88373645,0.16645805,0.08577494,0.20393275
100.88473728,0.16546112,0.08477881,0.20293545
100.88573812,0.16447143,0.08378992,0.20194539
100.88673895,0.16347454,0.08279383,0.20094812
100.88773978,0.16248489,0.08180497,0.19995810
100.88874062,0.16148803,0.08080892,0.19896087
100.88974145,0.16049842,0.07982011,0.19797089
100.89074229,0.15950161,0.07882410,0.19697370
100.89174312,0.15850481,0.07782811,0.19597654
100.89274395,0.15751526,0.07683935,0.19498661
100.89374479,0.15651850,0.07584340,0.19398948
100.89474562,0.15552899,0.07485468,0.19299960
100.89574646,0.15453228,0.07385877,0.19200251
100.89674729,0.15354280,0.07287009,0.19101267
100.89774812,0.15254613,0.07187422,0.19001562
100.89874896,0.15155669,0.07088558,0.18902582
100.89974979,0.15056006,0.06988975,0.18802881
100.90075063,0.14956344,0.06889393,0.18703182
100.90175146,0.14857406,0.06790536,0.18604207
100.90275229,0.14757749,0.06690958,0.18504512
100.90375313,0.14658815,0.06592104,0.18405541
100.90475396,0.14559161,0.06492531,0.18305850
100.90575480,0.14460232,0.06393681,0.18206884
100.90675563,0.14360582,0.06294111,0.18107197
100.90775646,0.14261656,0.06195265,0.18008234
100.90875730,0.14162010,0.06095699,0.17908551
100.90975813,0.14062366,0.05996136,0.17808869
100.91075897,0.13963446,0.05897296,0.17709913
100.91175980,0.13863806,0.05797736,0.17610235
100.91276063,0.13764890,0.05698900,0.17511282
100.91376147,0.13665254,0.05599344,0.17411609
100.91476230,0.13566342,0.05500512,0.17312660
100.91576314,0.13466710,0.05400960,0.17212991
100.91676397,0.13367802,0.05302131,0.17114046
100.91776480,0.13268174,0.05202584,0.17014380
100.91876564,0.13168548,0.05103038,0.16914717
100.91976647,0.13069646,0.05004215,0.16815778
